User;Role;h-index;Followers/Following;log_followers;Ratio RT_in;Ratio_RT_out;Ratio Reply_out;Frequency;Ratio multimedia;Ratio URL;Ratio HT
ana__freire;Retuiteador;14;0,77107471;3;2,694117647;0,615135834;0,114489004;1,899262899;0,062742561;0,405562743;0,843467012
amvegag;Retuiteador;1;0,769911504;1;0,142857143;0,785714286;0,12755102;1,593495935;0,142857143;0,173469388;0,142857143
aigtf;Networker;7;0,768;2;0,782178218;0,586912065;0,220858896;2,445;0,058282209;0,277096115;0,628834356
ledaduelo;Retuiteador;6;0,767470625;3;0,338729763;0,749297534;0,08460818;2,949355433;0,172962847;0,327505464;0,467062129
herasKarina;Replicador;6;0,767045455;2;1,830188679;0,249291785;0,626062323;2,152439024;0,110481586;0,206798867;0,104815864
globitss;Retuiteador;5;0,754957507;2;1,055555556;0,638190955;0,150753769;1,776785714;0,261306533;0,281407035;0,849246231
iamgotah;Replicador;2;0,753926702;2;0,096153846;0,156756757;0,745945946;1,859296482;0,059459459;0,267567568;0,162162162
brendamoranr;Retuiteador;4;0,751879699;2;0,55952381;0,777188329;0,114058355;1,496031746;0,25464191;0,233421751;0,734748011
Youenna;Replicador;6;0,743755782;2;0,099214847;0,141017781;0,816370325;30,2037037;0,013795218;0,681483752;0,017167382
mpcantarero;Retuiteador;10;0,741648107;2;0,89296957;0,645988113;0,27191679;3,133876601;0,141901932;0,320208024;0,420876672
