close,date
85351159,Mon Oct 26 16:17:35 +0000 2009
12870332,Wed Jan 30 11:43:11 +0000 2008
1161532708356575234,Wed Aug 14 06:59:12 +0000 2019
94391181,Thu Dec 03 19:05:09 +0000 2009
867490822551257088,Wed May 24 21:21:44 +0000 2017
2284087170,Thu Jan 09 20:36:22 +0000 2014
17392994,Fri Nov 14 18:48:28 +0000 2008
1083092993798799361,Wed Jan 09 20:07:47 +0000 2019
1880105874,Wed Sep 18 16:52:34 +0000 2013
2784386705,Thu Sep 25 21:11:20 +0000 2014
57424080,Thu Jul 16 19:37:13 +0000 2009
54068615,Mon Jul 06 01:29:16 +0000 2009
774254112,Wed Aug 22 18:42:21 +0000 2012
61245436,Wed Jul 29 17:18:28 +0000 2009
3065242954,Sun Mar 01 06:10:48 +0000 2015
66863052,Wed Aug 19 01:06:47 +0000 2009
170187289,Sat Jul 24 04:21:22 +0000 2010
1143547346736898048,Tue Jun 25 15:51:48 +0000 2019
71076388,Wed Sep 02 21:08:37 +0000 2009
85164656,Sun Oct 25 21:07:29 +0000 2009
41847358,Fri May 22 16:32:18 +0000 2009
17800427,Tue Dec 02 05:10:37 +0000 2008
1146575956095750145,Thu Jul 04 00:26:25 +0000 2019
3362936152,Mon Jul 06 18:59:06 +0000 2015
527926584,Sat Mar 17 23:11:24 +0000 2012
1091487725604212736,Sat Feb 02 00:05:27 +0000 2019
362730503,Fri Aug 26 22:04:07 +0000 2011
713590432026861568,Sat Mar 26 04:56:31 +0000 2016
1015571,Mon Mar 12 14:58:02 +0000 2007
440960994,Mon Dec 19 16:01:51 +0000 2011
3073102486,Thu Mar 05 18:33:09 +0000 2015
61798345,Fri Jul 31 15:40:56 +0000 2009
1113863613662539778,Thu Apr 04 17:59:14 +0000 2019
2966340209,Wed Jan 07 17:28:17 +0000 2015
1062112862322221056,Mon Nov 12 22:40:14 +0000 2018
1075927585522098177,Fri Dec 21 01:35:00 +0000 2018
74214882,Mon Sep 14 17:49:00 +0000 2009
39159334,Mon May 11 01:31:07 +0000 2009
3416524275,Wed Aug 12 00:32:02 +0000 2015
1130126586,Tue Jan 29 05:32:41 +0000 2013
3018042827,Wed Feb 04 16:43:58 +0000 2015
1122218090,Sat Jan 26 14:48:04 +0000 2013
228304221,Sun Dec 19 09:49:04 +0000 2010
89145013,Wed Nov 11 09:14:31 +0000 2009
150259202,Mon May 31 13:48:41 +0000 2010
136426609,Fri Apr 23 22:41:39 +0000 2010
1095354931383549952,Tue Feb 12 16:12:21 +0000 2019
290574928,Sat Apr 30 14:27:11 +0000 2011
382748975,Fri Sep 30 16:25:56 +0000 2011
140951738,Thu May 06 19:59:29 +0000 2010
300927351,Wed May 18 15:51:25 +0000 2011
832356744,Wed Sep 19 02:24:16 +0000 2012
165207755,Sat Jul 10 22:55:43 +0000 2010
116827501,Tue Feb 23 18:01:18 +0000 2010
1061743663057907717,Sun Nov 11 22:13:10 +0000 2018
4811048889,Fri Jan 15 05:24:36 +0000 2016
899727819143622658,Mon Aug 21 20:20:03 +0000 2017
796442322091155457,Wed Nov 09 20:00:21 +0000 2016
833732522546696192,Mon Feb 20 17:38:18 +0000 2017
578321905,Sat May 12 19:11:16 +0000 2012
1094185129591951361,Sat Feb 09 10:43:58 +0000 2019
708072812,Sat Jul 21 00:42:38 +0000 2012
898943549982605312,Sat Aug 19 16:23:38 +0000 2017
1106012342784090115,Thu Mar 14 02:01:06 +0000 2019
1025910290397978624,Sun Aug 05 01:04:08 +0000 2018
1095375544886198274,Tue Feb 12 17:34:15 +0000 2019
809350784,Fri Sep 07 18:13:34 +0000 2012
4028289917,Sat Oct 24 01:49:07 +0000 2015
3072643221,Thu Mar 05 16:00:09 +0000 2015
155116579,Sun Jun 13 04:47:41 +0000 2010
1087018000635576321,Sun Jan 20 16:04:21 +0000 2019
195210944,Sun Sep 26 03:02:13 +0000 2010
4861793599,Fri Feb 05 01:05:18 +0000 2016
104581168,Wed Jan 13 19:31:10 +0000 2010
93268113,Sat Nov 28 22:01:42 +0000 2009
