Advertiser Name,Funding Entity,Creative,Start date,End Date,Provincia,Targeted Segments,Excluded Targeting Segments,Impressions,Reach,Facts And Circumstances Of Removal,Enforcement Action,Statement Of Reason
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1734980123655364641,2023-12-14T00:00:00Z,2023-12-21T00:00:00Z,Gerona,"Ripoll, ES,Berga, ES,Solsona, ES","",3285,2137,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1713819567020240928,2023-10-16T00:00:00Z,2023-10-17T00:00:00Z,N/A,"halloween,Spain","",318365,280633,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1699731737083809835,2023-09-07T00:00:00Z,2023-09-08T00:00:00Z,N/A,"Spain","",411229,369162,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1703778404049551629,2023-09-18T00:00:00Z,2023-09-19T00:00:00Z,N/A,"Spain","",117344,110429,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1734958860283314326,2023-12-13T00:00:00Z,2023-12-14T00:00:00Z,N/A,"Spain","",255964,245211,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1727665802201956596,2023-11-23T00:00:00Z,2023-11-25T00:00:00Z,N/A,"Spain,perfumería,recetas,revista,navidad","",312208,259790,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1704761640376287637,2023-09-21T00:00:00Z,2023-09-22T00:00:00Z,N/A,"Spain","",300941,269087,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1750073452793630816,2024-01-25T00:00:00Z,2024-01-26T00:00:00Z,N/A,"Spain","",696511,444187,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1712007625645412545,2023-10-11T00:00:00Z,2023-10-12T00:00:00Z,N/A,"Spain","",479887,308295,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1727628742539845694,2023-11-23T00:00:00Z,2023-11-29T00:00:00Z,N/A,"Spain","",1111779,521259,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1721481269924528616,2023-11-06T00:00:00Z,2023-11-13T00:00:00Z,Gerona,"Gerona, ES","",40161,21380,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1762396026848043366,2024-02-27T00:00:00Z,2024-02-29T00:00:00Z,N/A,"Spain","",1326065,740205,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1715374815484289444,2023-10-20T00:00:00Z,2023-10-21T00:00:00Z,N/A,"Spain","",181077,178770,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1745000020959473859,2024-01-10T00:00:00Z,2024-01-11T00:00:00Z,N/A,"Spain","",471903,408645,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1732804578481934776,2023-12-11T00:00:00Z,2023-12-18T00:00:00Z,Gerona,"Gerona, ES","",53143,33573,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1696867962508980638,2023-08-31T00:00:00Z,2023-09-07T00:00:00Z,Navarra,"Casalarreina, ES,Ribera Baja, ES,Iruña de Oca, ES,Barrundia, ES,Zuia, ES,Eskoriatza, ES,Iruraiz-Gauna, ES,Condado de Treviño, ES,Mondragón, ES,Zigoitia, ES,Salvatierra, ES,Aretxabaleta, ES,Miranda de Ebro, ES,Vitoria-Gasteiz, ES,Elburgo, ES,Alegría-Dulantzi, ES,La Puebla de Arganzón, ES,Legutio, ES,Ollauri, ES,Haro, ES","",52342,28667,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1729925450841895126,2023-11-30T00:00:00Z,2023-12-02T00:00:00Z,Pontevedra,"36315 / Vigo, ES,36210 / Vigo, ES,36392 / Vigo, ES,36209 / Vigo, ES,36202 / Vigo, ES,36331 / Vigo, ES,36390 / Vigo, ES,36207 / Vigo, ES,36201 / Vigo, ES,36214 / Vigo, ES,36206 / Vigo, ES,36215 / Vigo, ES,36213 / Vigo, ES,36205 / Vigo, ES,36310 / Vigo, ES,36204 / Vigo, ES,36216 / Vigo, ES,36314 / Vigo, ES,36330 / Catoira, ES,36313 / Vigo, ES,36203 / Vigo, ES,36212 / Vigo, ES,36318 / Vigo, ES,36312 / Vigo, ES,36317 / Vigo, ES,36208 / Vigo, ES,36211 / Vigo, ES","",25551,21466,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1713819332537438361,2023-10-16T00:00:00Z,2023-10-23T00:00:00Z,Teruel,"Calanda, ES,Maella, ES,Valdeltormo, ES,Mazaleón, ES,Alcorisa, ES,Caspe, ES,Híjar, ES,La Fresneda, ES,Valderrobres, ES,Castelserás, ES,Andorra, ES,Alcañiz, ES,Fórnoles, ES,Torrecilla de Alcañiz, ES","",5877,2977,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1727693735641645511,2023-11-23T00:00:00Z,2023-11-25T00:00:00Z,N/A,"Spain,perfumería,recetas,revista,navidad","",283207,234715,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1762397115521659081,2024-02-27T00:00:00Z,2024-02-29T00:00:00Z,N/A,"Spain","",1508927,856918,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1698609752907886687,2023-09-20T00:00:00Z,2023-09-25T00:00:00Z,Gerona,"Girona / Gerona, ES,Gerona, ES","",37256,26671,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1497172022627082245,2024-01-12T00:00:00Z,2024-01-13T00:00:00Z,N/A,"Spain","",613176,509658,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1746827062529097944,2024-01-15T00:00:00Z,2024-01-16T00:00:00Z,N/A,"Spain","",411207,416804,N/A,N/A,N/A
